Treatment,PlantID,GrowthStage,Weeks_to
C,C-Pf-6,VE,1
C,C-Pf-6,VC,2
C,C-Pf-6,V1,3
C,C-Pf-6,V2,4
C,C-Pf-6,V3,5
C,C-Pf-6,V4,5.25
C,C-Pf-6,V5,5.75
C,C-Pf-6,V6,6
C,C-Pf-6,V7,6.5
C,C-Pf-6,V8,7
C,C-Pf-6,V9,7.5
C,C-Pf-6,V10,8
C,C-Pf-6,V11,9
C,C-Pf-6,V12,9.5
C,C-Pf-6,V13,10
C,C-Pf-6,V14,11
C,C-Pf-6,V15,NA
C,C-Pf-7,VE,1
C,C-Pf-7,VC,2
C,C-Pf-7,V1,3
C,C-Pf-7,V2,4
C,C-Pf-7,V3,4.5
C,C-Pf-7,V4,5
C,C-Pf-7,V5,5.5
C,C-Pf-7,V6,6
C,C-Pf-7,V7,6.5
C,C-Pf-7,V8,7
C,C-Pf-7,V9,7.5
C,C-Pf-7,V10,8
C,C-Pf-7,V11,9
C,C-Pf-7,V12,10
C,C-Pf-7,V13,NA
C,C-Pf-7,V14,NA
C,C-Pf-7,V15,NA
C,C-Pf-8,VE,1
C,C-Pf-8,VC,2
C,C-Pf-8,V1,3
C,C-Pf-8,V2,4
C,C-Pf-8,V3,5
C,C-Pf-8,V4,6
C,C-Pf-8,V5,6.25
C,C-Pf-8,V6,6.75
C,C-Pf-8,V7,7
C,C-Pf-8,V8,8
C,C-Pf-8,V9,8.5
C,C-Pf-8,V10,8
C,C-Pf-8,V11,10
C,C-Pf-8,V12,10.5
C,C-Pf-8,V13,11
C,C-Pf-8,V14,11.5
C,C-Pf-8,V15,12
C,C-Ex-1,VE,1
C,C-Ex-1,VC,2
C,C-Ex-1,V1,3
C,C-Ex-1,V2,4
C,C-Ex-1,V3,5
C,C-Ex-1,V4,5.5
C,C-Ex-1,V5,6
C,C-Ex-1,V6,6.5
C,C-Ex-1,V7,7
C,C-Ex-1,V8,7.5
C,C-Ex-1,V9,8
C,C-Ex-1,V10,8.5
C,C-Ex-1,V11,9
C,C-Ex-1,V12,10
C,C-Ex-1,V13,11
C,C-Ex-1,V14,12
C,C-Ex-1,V15,NA
C,C-Ex-2,VE,1
C,C-Ex-2,VC,2
C,C-Ex-2,V1,3
C,C-Ex-2,V2,4
C,C-Ex-2,V3,4.5
C,C-Ex-2,V4,5
C,C-Ex-2,V5,5
C,C-Ex-2,V6,6
C,C-Ex-2,V7,6.25
C,C-Ex-2,V8,6.75
C,C-Ex-2,V9,7
C,C-Ex-2,V10,8
C,C-Ex-2,V11,8.5
C,C-Ex-2,V12,9
C,C-Ex-2,V13,10
C,C-Ex-2,V14,11
C,C-Ex-2,V15,12
C,C-Ex-3,VE,1
C,C-Ex-3,VC,2
C,C-Ex-3,V1,3
C,C-Ex-3,V2,4
C,C-Ex-3,V3,4.5
C,C-Ex-3,V4,5
C,C-Ex-3,V5,5.5
C,C-Ex-3,V6,6
C,C-Ex-3,V7,6.5
C,C-Ex-3,V8,7
C,C-Ex-3,V9,7.5
C,C-Ex-3,V10,8
C,C-Ex-3,V11,8.5
C,C-Ex-3,V12,9
C,C-Ex-3,V13,10
C,C-Ex-3,V14,11
C,C-Ex-3,V15,NA
C,C-Ex-4,VE,1
C,C-Ex-4,VC,2
C,C-Ex-4,V1,3
C,C-Ex-4,V2,4
C,C-Ex-4,V3,5.5
C,C-Ex-4,V4,6
C,C-Ex-4,V5,6.25
C,C-Ex-4,V6,6.75
C,C-Ex-4,V7,7
C,C-Ex-4,V8,8
C,C-Ex-4,V9,8.5
C,C-Ex-4,V10,8
C,C-Ex-4,V11,9.5
C,C-Ex-4,V12,10
C,C-Ex-4,V13,11
C,C-Ex-4,V14,12
C,C-Ex-4,V15,NA
C,C-Ex-5,VE,1
C,C-Ex-5,VC,2
C,C-Ex-5,V1,3
C,C-Ex-5,V2,3.5
C,C-Ex-5,V3,4
C,C-Ex-5,V4,5
C,C-Ex-5,V5,5.25
C,C-Ex-5,V6,5.75
C,C-Ex-5,V7,6
C,C-Ex-5,V8,6.5
C,C-Ex-5,V9,7
C,C-Ex-5,V10,7.5
C,C-Ex-5,V11,8
C,C-Ex-5,V12,10
C,C-Ex-5,V13,11
C,C-Ex-5,V14,NA
C,C-Ex-5,V15,NA
MP,MP-Sb-1,VE,1
MP,MP-Sb-1,VC,2
MP,MP-Sb-1,V1,3
MP,MP-Sb-1,V2,4
MP,MP-Sb-1,V3,5
MP,MP-Sb-1,V4,6
MP,MP-Sb-1,V5,6.25
MP,MP-Sb-1,V6,6.75
MP,MP-Sb-1,V7,7
MP,MP-Sb-1,V8,7.5
MP,MP-Sb-1,V9,8
MP,MP-Sb-1,V10,8.5
MP,MP-Sb-1,V11,9
MP,MP-Sb-1,V12,10
MP,MP-Sb-1,V13,11
MP,MP-Sb-1,V14,NA
MP,MP-Sb-1,V15,NA
MP,MP-Sb-2,VE,1
MP,MP-Sb-2,VC,2
MP,MP-Sb-2,V1,3
MP,MP-Sb-2,V2,4
MP,MP-Sb-2,V3,5
MP,MP-Sb-2,V4,6.5
MP,MP-Sb-2,V5,7
MP,MP-Sb-2,V6,8
MP,MP-Sb-2,V7,8.5
MP,MP-Sb-2,V8,9
MP,MP-Sb-2,V9,10
MP,MP-Sb-2,V10,10.5
MP,MP-Sb-2,V11,11
MP,MP-Sb-2,V12,10.5
MP,MP-Sb-2,V13,12
MP,MP-Sb-2,V14,13
MP,MP-Sb-2,V15,NA
MP,MP-Sb-3,VE,1
MP,MP-Sb-3,VC,2
MP,MP-Sb-3,V1,3
MP,MP-Sb-3,V2,4
MP,MP-Sb-3,V3,5.5
MP,MP-Sb-3,V4,6
MP,MP-Sb-3,V5,6.25
MP,MP-Sb-3,V6,6.75
MP,MP-Sb-3,V7,7
MP,MP-Sb-3,V8,7.5
MP,MP-Sb-3,V9,8
MP,MP-Sb-3,V10,9
MP,MP-Sb-3,V11,9.5
MP,MP-Sb-3,V12,10
MP,MP-Sb-3,V13,10.5
MP,MP-Sb-3,V14,11
MP,MP-Sb-3,V15,NA
MP,MP-Sb-4,VE,1
MP,MP-Sb-4,VC,2
MP,MP-Sb-4,V1,3
MP,MP-Sb-4,V2,4
MP,MP-Sb-4,V3,5
MP,MP-Sb-4,V4,6
MP,MP-Sb-4,V5,6.5
MP,MP-Sb-4,V6,7
MP,MP-Sb-4,V7,7.5
MP,MP-Sb-4,V8,8
MP,MP-Sb-4,V9,8.5
MP,MP-Sb-4,V10,9
MP,MP-Sb-4,V11,9.5
MP,MP-Sb-4,V12,10
MP,MP-Sb-4,V13,NA
MP,MP-Sb-4,V14,NA
MP,MP-Sb-4,V15,NA
MP,MP-Sb-5,VE,1
MP,MP-Sb-5,VC,2
MP,MP-Sb-5,V1,3
MP,MP-Sb-5,V2,4
MP,MP-Sb-5,V3,5
MP,MP-Sb-5,V4,5.5
MP,MP-Sb-5,V5,6
MP,MP-Sb-5,V6,6.5
MP,MP-Sb-5,V7,7
MP,MP-Sb-5,V8,7.5
MP,MP-Sb-5,V9,8
MP,MP-Sb-5,V10,8.5
MP,MP-Sb-5,V11,9
MP,MP-Sb-5,V12,10.5
MP,MP-Sb-5,V13,11
MP,MP-Sb-5,V14,NA
MP,MP-Sb-5,V15,NA
MP,MP-Sb-6,VE,1
MP,MP-Sb-6,VC,2
MP,MP-Sb-6,V1,3
MP,MP-Sb-6,V2,4
MP,MP-Sb-6,V3,5
MP,MP-Sb-6,V4,5.5
MP,MP-Sb-6,V5,6
MP,MP-Sb-6,V6,6.5
MP,MP-Sb-6,V7,7
MP,MP-Sb-6,V8,7.5
MP,MP-Sb-6,V9,8
MP,MP-Sb-6,V10,8.5
MP,MP-Sb-6,V11,9
MP,MP-Sb-6,V12,10
MP,MP-Sb-6,V13,11
MP,MP-Sb-6,V14,NA
MP,MP-Sb-6,V15,NA
MP,MP-Sb-7,VE,1
MP,MP-Sb-7,VC,2
MP,MP-Sb-7,V1,3
MP,MP-Sb-7,V2,4
MP,MP-Sb-7,V3,5.5
MP,MP-Sb-7,V4,6
MP,MP-Sb-7,V5,6.5
MP,MP-Sb-7,V6,7
MP,MP-Sb-7,V7,7.5
MP,MP-Sb-7,V8,8
MP,MP-Sb-7,V9,8.5
MP,MP-Sb-7,V10,9
MP,MP-Sb-7,V11,10
MP,MP-Sb-7,V12,NA
MP,MP-Sb-7,V13,NA
MP,MP-Sb-7,V14,NA
MP,MP-Sb-7,V15,NA
MP,MP-Sb-8,VE,1
MP,MP-Sb-8,VC,2
MP,MP-Sb-8,V1,3
MP,MP-Sb-8,V2,5
MP,MP-Sb-8,V3,5.5
MP,MP-Sb-8,V4,6
MP,MP-Sb-8,V5,6.5
MP,MP-Sb-8,V6,7
MP,MP-Sb-8,V7,7.5
MP,MP-Sb-8,V8,8
MP,MP-Sb-8,V9,8.5
MP,MP-Sb-8,V10,9
MP,MP-Sb-8,V11,10
MP,MP-Sb-8,V12,11
MP,MP-Sb-8,V13,12
MP,MP-Sb-8,V14,NA
MP,MP-Sb-8,V15,NA
MP,MP-MBB-1,VE,1
MP,MP-MBB-1,VC,2
MP,MP-MBB-1,V1,3
MP,MP-MBB-1,V2,4
MP,MP-MBB-1,V3,6
MP,MP-MBB-1,V4,6.5
MP,MP-MBB-1,V5,7
MP,MP-MBB-1,V6,7.5
MP,MP-MBB-1,V7,8
MP,MP-MBB-1,V8,8.5
MP,MP-MBB-1,V9,9
MP,MP-MBB-1,V10,10
MP,MP-MBB-1,V11,10.5
MP,MP-MBB-1,V12,11
MP,MP-MBB-1,V13,NA
MP,MP-MBB-1,V14,NA
MP,MP-MBB-1,V15,NA
MP,MP-MBB-2,VE,1
MP,MP-MBB-2,VC,2
MP,MP-MBB-2,V1,3
MP,MP-MBB-2,V2,4
MP,MP-MBB-2,V3,5
MP,MP-MBB-2,V4,5.5
MP,MP-MBB-2,V5,6
MP,MP-MBB-2,V6,6.5
MP,MP-MBB-2,V7,7
MP,MP-MBB-2,V8,7.5
MP,MP-MBB-2,V9,8
MP,MP-MBB-2,V10,8.5
MP,MP-MBB-2,V11,9
MP,MP-MBB-2,V12,10
MP,MP-MBB-2,V13,11
MP,MP-MBB-2,V14,NA
MP,MP-MBB-2,V15,NA
MP,MP-MBB-3,VE,1
MP,MP-MBB-3,VC,2
MP,MP-MBB-3,V1,3
MP,MP-MBB-3,V2,5
MP,MP-MBB-3,V3,6.5
MP,MP-MBB-3,V4,7
MP,MP-MBB-3,V5,8
MP,MP-MBB-3,V6,8.5
MP,MP-MBB-3,V7,9
MP,MP-MBB-3,V8,10
MP,MP-MBB-3,V9,11
MP,MP-MBB-3,V10,11.25
MP,MP-MBB-3,V11,11.75
MP,MP-MBB-3,V12,12
MP,MP-MBB-3,V13,NA
MP,MP-MBB-3,V14,NA
MP,MP-MBB-3,V15,NA
MP,MP-MBB-4,VE,1
MP,MP-MBB-4,VC,2
MP,MP-MBB-4,V1,3
MP,MP-MBB-4,V2,4
MP,MP-MBB-4,V3,5.5
MP,MP-MBB-4,V4,6
MP,MP-MBB-4,V5,6.5
MP,MP-MBB-4,V6,7
MP,MP-MBB-4,V7,7.5
MP,MP-MBB-4,V8,8
MP,MP-MBB-4,V9,9
MP,MP-MBB-4,V10,10
MP,MP-MBB-4,V11,11
MP,MP-MBB-4,V12,12
MP,MP-MBB-4,V13,NA
MP,MP-MBB-4,V14,NA
MP,MP-MBB-4,V15,NA
MP,MP-MBB-5,VE,1
MP,MP-MBB-5,VC,2
MP,MP-MBB-5,V1,3
MP,MP-MBB-5,V2,4
MP,MP-MBB-5,V3,5
MP,MP-MBB-5,V4,6
MP,MP-MBB-5,V5,6.5
MP,MP-MBB-5,V6,7
MP,MP-MBB-5,V7,7.5
MP,MP-MBB-5,V8,8
MP,MP-MBB-5,V9,9
MP,MP-MBB-5,V10,10
MP,MP-MBB-5,V11,10.5
MP,MP-MBB-5,V12,11
MP,MP-MBB-5,V13,12
MP,MP-MBB-5,V14,NA
MP,MP-MBB-5,V15,NA
MP,MP-MBB-6,VE,1
MP,MP-MBB-6,VC,2
MP,MP-MBB-6,V1,3
MP,MP-MBB-6,V2,4
MP,MP-MBB-6,V3,5
MP,MP-MBB-6,V4,5.5
MP,MP-MBB-6,V5,6
MP,MP-MBB-6,V6,6.5
MP,MP-MBB-6,V7,7
MP,MP-MBB-6,V8,7.5
MP,MP-MBB-6,V9,8
MP,MP-MBB-6,V10,9
MP,MP-MBB-6,V11,10
MP,MP-MBB-6,V12,11
MP,MP-MBB-6,V13,11.5
MP,MP-MBB-6,V14,12
MP,MP-MBB-6,V15,NA
MP,MP-MBB-7,VE,1
MP,MP-MBB-7,VC,2
MP,MP-MBB-7,V1,3
MP,MP-MBB-7,V2,5
MP,MP-MBB-7,V3,6
MP,MP-MBB-7,V4,8
MP,MP-MBB-7,V5,8.5
MP,MP-MBB-7,V6,9
MP,MP-MBB-7,V7,10
MP,MP-MBB-7,V8,10.5
MP,MP-MBB-7,V9,11
MP,MP-MBB-7,V10,12
MP,MP-MBB-7,V11,NA
MP,MP-MBB-7,V12,NA
MP,MP-MBB-7,V13,NA
MP,MP-MBB-7,V14,NA
MP,MP-MBB-7,V15,NA
MP,MP-MBB-8,VE,1
MP,MP-MBB-8,VC,2
MP,MP-MBB-8,V1,3
MP,MP-MBB-8,V2,5
MP,MP-MBB-8,V3,6
MP,MP-MBB-8,V4,6.5
MP,MP-MBB-8,V5,7
MP,MP-MBB-8,V6,7.5
MP,MP-MBB-8,V7,8
MP,MP-MBB-8,V8,8.5
MP,MP-MBB-8,V9,9
MP,MP-MBB-8,V10,10
MP,MP-MBB-8,V11,11
MP,MP-MBB-8,V12,NA
MP,MP-MBB-8,V13,NA
MP,MP-MBB-8,V14,NA
MP,MP-MBB-8,V15,NA
MP,MP-Pf-1,VE,1
MP,MP-Pf-1,VC,2
MP,MP-Pf-1,V1,3
MP,MP-Pf-1,V2,4
MP,MP-Pf-1,V3,5.5
MP,MP-Pf-1,V4,6
MP,MP-Pf-1,V5,6.5
MP,MP-Pf-1,V6,7
MP,MP-Pf-1,V7,7.5
MP,MP-Pf-1,V8,8
MP,MP-Pf-1,V9,9
MP,MP-Pf-1,V10,10
MP,MP-Pf-1,V11,10.5
MP,MP-Pf-1,V12,11
MP,MP-Pf-1,V13,11.5
MP,MP-Pf-1,V14,12
MP,MP-Pf-1,V15,NA
MP,MP-Pf-2,VE,1
MP,MP-Pf-2,VC,2
MP,MP-Pf-2,V1,3
MP,MP-Pf-2,V2,4
MP,MP-Pf-2,V3,5
MP,MP-Pf-2,V4,6
MP,MP-Pf-2,V5,6.25
MP,MP-Pf-2,V6,6.75
MP,MP-Pf-2,V7,7
MP,MP-Pf-2,V8,8
MP,MP-Pf-2,V9,8.5
MP,MP-Pf-2,V10,9
MP,MP-Pf-2,V11,9.5
MP,MP-Pf-2,V12,10
MP,MP-Pf-2,V13,11
MP,MP-Pf-2,V14,NA
MP,MP-Pf-2,V15,NA
MP,MP-Pf-3,VE,1
MP,MP-Pf-3,VC,2
MP,MP-Pf-3,V1,3
MP,MP-Pf-3,V2,4
MP,MP-Pf-3,V3,6
MP,MP-Pf-3,V4,6.5
MP,MP-Pf-3,V5,7
MP,MP-Pf-3,V6,7.5
MP,MP-Pf-3,V7,8
MP,MP-Pf-3,V8,8.5
MP,MP-Pf-3,V9,9
MP,MP-Pf-3,V10,10.25
MP,MP-Pf-3,V11,10.75
MP,MP-Pf-3,V12,11
MP,MP-Pf-3,V13,11.5
MP,MP-Pf-3,V14,12
MP,MP-Pf-3,V15,NA
MP,MP-Pf-4,VE,1
MP,MP-Pf-4,VC,2
MP,MP-Pf-4,V1,3
MP,MP-Pf-4,V2,5
MP,MP-Pf-4,V3,5.5
MP,MP-Pf-4,V4,6
MP,MP-Pf-4,V5,6.5
MP,MP-Pf-4,V6,7
MP,MP-Pf-4,V7,7.5
MP,MP-Pf-4,V8,8
MP,MP-Pf-4,V9,8.5
MP,MP-Pf-4,V10,9
MP,MP-Pf-4,V11,9.5
MP,MP-Pf-4,V12,10
MP,MP-Pf-4,V13,11
MP,MP-Pf-4,V14,NA
MP,MP-Pf-4,V15,NA
MP,MP-Pf-5,VE,1
MP,MP-Pf-5,VC,2
MP,MP-Pf-5,V1,3
MP,MP-Pf-5,V2,4
MP,MP-Pf-5,V3,5
MP,MP-Pf-5,V4,5.5
MP,MP-Pf-5,V5,6
MP,MP-Pf-5,V6,6.5
MP,MP-Pf-5,V7,7
MP,MP-Pf-5,V8,8
MP,MP-Pf-5,V9,9
MP,MP-Pf-5,V10,9
MP,MP-Pf-5,V11,10
MP,MP-Pf-5,V12,11
