Treatment,PlantID,GrowthStage,Weeks_to
C,C-MBB-3,V7,7.5
C,C-MBB-3,V8,8
C,C-MBB-3,V9,8.5
C,C-MBB-3,V10,8
C,C-MBB-3,V11,10
C,C-MBB-3,V12,10.5
C,C-MBB-3,V13,11
C,C-MBB-3,V14,NA
C,C-MBB-3,V15,NA
C,C-MBB-4,VE,1
C,C-MBB-4,VC,2
C,C-MBB-4,V1,3
C,C-MBB-4,V2,4
C,C-MBB-4,V3,5
C,C-MBB-4,V4,5.5
C,C-MBB-4,V5,6
C,C-MBB-4,V6,6.25
C,C-MBB-4,V7,6.75
C,C-MBB-4,V8,7
C,C-MBB-4,V9,7.5
C,C-MBB-4,V10,8
C,C-MBB-4,V11,8.5
C,C-MBB-4,V12,9
C,C-MBB-4,V13,10
C,C-MBB-4,V14,11
C,C-MBB-4,V15,NA
C,C-MBB-5,VE,1
C,C-MBB-5,VC,2
C,C-MBB-5,V1,3
C,C-MBB-5,V2,4
C,C-MBB-5,V3,5
C,C-MBB-5,V4,5.5
C,C-MBB-5,V5,6
C,C-MBB-5,V6,6.25
C,C-MBB-5,V7,6.75
C,C-MBB-5,V8,7
C,C-MBB-5,V9,8
C,C-MBB-5,V10,8.5
C,C-MBB-5,V11,9
C,C-MBB-5,V12,10
C,C-MBB-5,V13,11
C,C-MBB-5,V14,NA
C,C-MBB-5,V15,NA
C,C-MBB-6,VE,1
C,C-MBB-6,VC,2
C,C-MBB-6,V1,3
C,C-MBB-6,V2,4
C,C-MBB-6,V3,5
C,C-MBB-6,V4,5.5
C,C-MBB-6,V5,6
C,C-MBB-6,V6,6.5
C,C-MBB-6,V7,7
C,C-MBB-6,V8,7.5
C,C-MBB-6,V9,8
C,C-MBB-6,V10,8
C,C-MBB-6,V11,9.5
C,C-MBB-6,V12,10
C,C-MBB-6,V13,11
C,C-MBB-6,V14,13
C,C-MBB-6,V15,NA
C,C-MBB-7,VE,1
C,C-MBB-7,VC,2
C,C-MBB-7,V1,3
C,C-MBB-7,V2,4
C,C-MBB-7,V3,5
C,C-MBB-7,V4,5.5
C,C-MBB-7,V5,6
C,C-MBB-7,V6,6.5
C,C-MBB-7,V7,7
C,C-MBB-7,V8,7.5
C,C-MBB-7,V9,8
C,C-MBB-7,V10,8.5
C,C-MBB-7,V11,9
C,C-MBB-7,V12,10
C,C-MBB-7,V13,11
C,C-MBB-7,V14,12
C,C-MBB-7,V15,NA
C,C-MBB-8,VE,1
C,C-MBB-8,VC,2
C,C-MBB-8,V1,3
C,C-MBB-8,V2,4
C,C-MBB-8,V3,5
C,C-MBB-8,V4,6
C,C-MBB-8,V5,6.25
C,C-MBB-8,V6,6.75
C,C-MBB-8,V7,7
C,C-MBB-8,V8,8
C,C-MBB-8,V9,8.5
C,C-MBB-8,V10,8
C,C-MBB-8,V11,10
C,C-MBB-8,V12,11
C,C-MBB-8,V13,NA
C,C-MBB-8,V14,NA
C,C-MBB-8,V15,NA
C,C-Pf-1,VE,1
C,C-Pf-1,VC,2
C,C-Pf-1,V1,3
C,C-Pf-1,V2,4
C,C-Pf-1,V3,6
C,C-Pf-1,V4,7
C,C-Pf-1,V5,8
C,C-Pf-1,V6,9
C,C-Pf-1,V7,10
C,C-Pf-1,V8,11
C,C-Pf-1,V9,12
C,C-Pf-1,V10,12.5
C,C-Pf-1,V11,13
C,C-Pf-1,V12,14
C,C-Pf-1,V13,NA
C,C-Pf-1,V14,NA
C,C-Pf-1,V15,NA
C,C-Pf-2,VE,1
C,C-Pf-2,VC,2
C,C-Pf-2,V1,3
C,C-Pf-2,V2,4
C,C-Pf-2,V3,5.5
C,C-Pf-2,V4,6
C,C-Pf-2,V5,6.5
C,C-Pf-2,V6,7
C,C-Pf-2,V7,7.5
C,C-Pf-2,V8,8
C,C-Pf-2,V9,8.5
C,C-Pf-2,V10,8
C,C-Pf-2,V11,10
C,C-Pf-2,V12,10.5
C,C-Pf-2,V13,11
C,C-Pf-2,V14,NA
C,C-Pf-2,V15,NA
C,C-Pf-3,VE,1
C,C-Pf-3,VC,2
C,C-Pf-3,V1,3
C,C-Pf-3,V2,4
C,C-Pf-3,V3,5
C,C-Pf-3,V4,6
C,C-Pf-3,V5,6.5
C,C-Pf-3,V6,7
C,C-Pf-3,V7,7.5
C,C-Pf-3,V8,8
C,C-Pf-3,V9,8.5
C,C-Pf-3,V10,8
C,C-Pf-3,V11,10
C,C-Pf-3,V12,10.5
C,C-Pf-3,V13,11
C,C-Pf-3,V14,NA
C,C-Pf-3,V15,NA
C,C-Pf-4,VE,1
C,C-Pf-4,VC,2
C,C-Pf-4,V1,3
C,C-Pf-4,V2,4
C,C-Pf-4,V3,5
C,C-Pf-4,V4,5.25
C,C-Pf-4,V5,5.75
C,C-Pf-4,V6,6
C,C-Pf-4,V7,6.5
C,C-Pf-4,V8,7
C,C-Pf-4,V9,8
C,C-Pf-4,V10,8.5
C,C-Pf-4,V11,9
C,C-Pf-4,V12,10
C,C-Pf-4,V13,10.5
C,C-Pf-4,V14,11
C,C-Pf-4,V15,NA
C,C-Pf-5,VE,1
C,C-Pf-5,VC,2
C,C-Pf-5,V1,3
C,C-Pf-5,V2,4
C,C-Pf-5,V3,5.5
C,C-Pf-5,V4,6
C,C-Pf-5,V5,6.5
C,C-Pf-5,V6,7
C,C-Pf-5,V7,7.5
C,C-Pf-5,V8,8
C,C-Pf-5,V9,8.5
C,C-Pf-5,V10,8
C,C-Pf-5,V11,10
C,C-Pf-5,V12,10.5
C,C-Pf-5,V13,11
C,C-Pf-5,V14,11.5
C,C-Pf-5,V15,12
