Treatment,PlantID,GrowthStage,Weeks_to
C,C-MBB-5,11,9
C,C-MBB-5,12,10
C,C-MBB-5,13,11
C,C-MBB-5,14,NA
C,C-MBB-5,15,NA
C,C-MBB-6,-1,1
C,C-MBB-6,0,2
C,C-MBB-6,1,3
C,C-MBB-6,2,4
C,C-MBB-6,3,5
C,C-MBB-6,4,5.5
C,C-MBB-6,5,6
C,C-MBB-6,6,6.5
C,C-MBB-6,7,7
C,C-MBB-6,8,7.5
C,C-MBB-6,9,8
C,C-MBB-6,10,8
C,C-MBB-6,11,9.5
C,C-MBB-6,12,10
C,C-MBB-6,13,11
C,C-MBB-6,14,13
C,C-MBB-6,15,NA
C,C-MBB-7,-1,1
C,C-MBB-7,0,2
C,C-MBB-7,1,3
C,C-MBB-7,2,4
C,C-MBB-7,3,5
C,C-MBB-7,4,5.5
C,C-MBB-7,5,6
C,C-MBB-7,6,6.5
C,C-MBB-7,7,7
C,C-MBB-7,8,7.5
C,C-MBB-7,9,8
C,C-MBB-7,10,8.5
C,C-MBB-7,11,9
C,C-MBB-7,12,10
C,C-MBB-7,13,11
C,C-MBB-7,14,12
C,C-MBB-7,15,NA
C,C-MBB-8,-1,1
C,C-MBB-8,0,2
C,C-MBB-8,1,3
C,C-MBB-8,2,4
C,C-MBB-8,3,5
C,C-MBB-8,4,6
C,C-MBB-8,5,6.25
C,C-MBB-8,6,6.75
C,C-MBB-8,7,7
C,C-MBB-8,8,8
C,C-MBB-8,9,8.5
C,C-MBB-8,10,8
C,C-MBB-8,11,10
C,C-MBB-8,12,11
C,C-MBB-8,13,NA
C,C-MBB-8,14,NA
C,C-MBB-8,15,NA
C,C-Pf-1,-1,1
C,C-Pf-1,0,2
C,C-Pf-1,1,3
C,C-Pf-1,2,4
C,C-Pf-1,3,6
C,C-Pf-1,4,7
C,C-Pf-1,5,8
C,C-Pf-1,6,9
C,C-Pf-1,7,10
C,C-Pf-1,8,11
C,C-Pf-1,9,12
C,C-Pf-1,10,12.5
C,C-Pf-1,11,13
C,C-Pf-1,12,14
C,C-Pf-1,13,NA
C,C-Pf-1,14,NA
C,C-Pf-1,15,NA
C,C-Pf-2,-1,1
C,C-Pf-2,0,2
C,C-Pf-2,1,3
C,C-Pf-2,2,4
C,C-Pf-2,3,5.5
C,C-Pf-2,4,6
C,C-Pf-2,5,6.5
C,C-Pf-2,6,7
C,C-Pf-2,7,7.5
C,C-Pf-2,8,8
C,C-Pf-2,9,8.5
C,C-Pf-2,10,8
C,C-Pf-2,11,10
C,C-Pf-2,12,10.5
C,C-Pf-2,13,11
C,C-Pf-2,14,NA
C,C-Pf-2,15,NA
C,C-Pf-3,-1,1
C,C-Pf-3,0,2
C,C-Pf-3,1,3
C,C-Pf-3,2,4
C,C-Pf-3,3,5
C,C-Pf-3,4,6
C,C-Pf-3,5,6.5
C,C-Pf-3,6,7
C,C-Pf-3,7,7.5
C,C-Pf-3,8,8
C,C-Pf-3,9,8.5
C,C-Pf-3,10,8
C,C-Pf-3,11,10
C,C-Pf-3,12,10.5
C,C-Pf-3,13,11
C,C-Pf-3,14,NA
C,C-Pf-3,15,NA
C,C-Pf-4,-1,1
C,C-Pf-4,0,2
C,C-Pf-4,1,3
C,C-Pf-4,2,4
C,C-Pf-4,3,5
C,C-Pf-4,4,5.25
C,C-Pf-4,5,5.75
C,C-Pf-4,6,6
C,C-Pf-4,7,6.5
C,C-Pf-4,8,7
C,C-Pf-4,9,8
C,C-Pf-4,10,8.5
C,C-Pf-4,11,9
