Treatment,PlantID,GrowthStage,Weeks_to
MP,MP-Pf-8,7,7.5
MP,MP-Pf-8,8,8
MP,MP-Pf-8,9,8.5
MP,MP-Pf-8,10,9
MP,MP-Pf-8,11,10
MP,MP-Pf-8,12,11
MP,MP-Pf-8,13,11.5
MP,MP-Pf-8,14,12
MP,MP-Pf-8,15,NA
MP,MP-Ex-1,-1,1
MP,MP-Ex-1,0,2
MP,MP-Ex-1,1,3
MP,MP-Ex-1,2,4
MP,MP-Ex-1,3,5
MP,MP-Ex-1,4,5.5
MP,MP-Ex-1,5,6
MP,MP-Ex-1,6,6.5
MP,MP-Ex-1,7,7
MP,MP-Ex-1,8,8
MP,MP-Ex-1,9,9
MP,MP-Ex-1,10,8.5
MP,MP-Ex-1,11,10
MP,MP-Ex-1,12,11
MP,MP-Ex-1,13,13
MP,MP-Ex-1,14,NA
MP,MP-Ex-1,15,NA
MP,MP-Ex-2,-1,1
MP,MP-Ex-2,0,2
MP,MP-Ex-2,1,3
MP,MP-Ex-2,2,4
MP,MP-Ex-2,3,6
MP,MP-Ex-2,4,6.5
MP,MP-Ex-2,5,7
MP,MP-Ex-2,6,7.5
MP,MP-Ex-2,7,8
MP,MP-Ex-2,8,8.5
MP,MP-Ex-2,9,9
MP,MP-Ex-2,10,10
MP,MP-Ex-2,11,10.5
MP,MP-Ex-2,12,11
MP,MP-Ex-2,13,12
MP,MP-Ex-2,14,NA
MP,MP-Ex-2,15,NA
MP,MP-Ex-3,-1,1
MP,MP-Ex-3,0,2
MP,MP-Ex-3,1,3
MP,MP-Ex-3,2,4
MP,MP-Ex-3,3,5
MP,MP-Ex-3,4,5.5
MP,MP-Ex-3,5,6
MP,MP-Ex-3,6,6.5
MP,MP-Ex-3,7,7
MP,MP-Ex-3,8,8
MP,MP-Ex-3,9,9
MP,MP-Ex-3,10,8.5
MP,MP-Ex-3,11,9
MP,MP-Ex-3,12,10
MP,MP-Ex-3,13,11
MP,MP-Ex-3,14,NA
MP,MP-Ex-3,15,NA
MP,MP-Ex-4,-1,1
MP,MP-Ex-4,0,2
MP,MP-Ex-4,1,3
MP,MP-Ex-4,2,5
MP,MP-Ex-4,3,6
MP,MP-Ex-4,4,6.5
MP,MP-Ex-4,5,7
MP,MP-Ex-4,6,7.5
MP,MP-Ex-4,7,8
MP,MP-Ex-4,8,9
MP,MP-Ex-4,9,9.5
MP,MP-Ex-4,10,10
MP,MP-Ex-4,11,11
MP,MP-Ex-4,12,NA
MP,MP-Ex-4,13,NA
MP,MP-Ex-4,14,NA
MP,MP-Ex-4,15,NA
MP,MP-Ex-5,-1,1
MP,MP-Ex-5,0,2
MP,MP-Ex-5,1,3
MP,MP-Ex-5,2,4
MP,MP-Ex-5,3,5
MP,MP-Ex-5,4,6
MP,MP-Ex-5,5,6.5
MP,MP-Ex-5,6,7
MP,MP-Ex-5,7,7.5
MP,MP-Ex-5,8,8
MP,MP-Ex-5,9,8.5
MP,MP-Ex-5,10,9
MP,MP-Ex-5,11,10
MP,MP-Ex-5,12,11
MP,MP-Ex-5,13,NA
MP,MP-Ex-5,14,NA
MP,MP-Ex-5,15,NA
